Leader Name	Nation Name	Alliance	Score
Tim Adams	America States	None	123.52
James McGee	Kingdom of Alma	None	12.25
Guviso	Oridall	None	50.50
Brendan de Cour	Angevin Empire	None	0.22
George Ratham	Dotharia	None	5.50
Baydonious I	Imperial Australian Empire	None	10.75
Lenny Bigfold	Republic of Common Sense	None	427.24
Bryan Wieneke	Dakota	None	14.53
Zeablond	Zadonia	None	173.83
123456	8476	None	109.11
Ella	Citron	None	0.00
Tyrion Lanister	Lanisters	None	183.09
Lucien	Lucienburg	None	63.57
Fremmer	Gallofran	None	9.00
Crumble	Grey Lands	None	51.50
Gavin Lafferty	Westerville	Brotherhood of the Clouds	318.43
Lol	Fredrick Maria	The United States of America	139.78
Blackacre	Morania	None	8.00
lider	batata	None	73.25
Tyunka	Idaho	The Immortals	1,645.00
aimee	diketono	None	63.00
Anthony B	San mar del Norte	Ecotopian Co-operative Alliance	82.00
mentor Ezio Auditore	Masyaf	One is the loneliest number	50.42
Nick Sharp	Osmary	Ragnarok	2,134.50
Arthur Kreigsmann	Alpine Confederation	None	9.26
Garrett 420	Kushkings	None	62.96
Forest	Forest Grove	Grove Investments	387.51
Khameni	Islamic Republic of Persia	None	2.75
Hassan Nasrallah	The republic of Lebanon	None	14.61
Naldus	Zarellia	None	9.23
Hunter Doan	Bourbonnais	None	72.25
Alek	Great Republic of Shan	None	20.20
Stitt	Oklahoma	None	102.26
Ucal	Cymatics	None	53.00
Joshua Cobb	Joshania	None	50.50
King Brad	Stonk Boys	None	5.50
Theorian Montarett	Republic of Nisei	None	5.92
Ivo Watts	Yovia	None	158.01
Nekorah Silverlock	Shironeko	The Confederacy of Iron States	989.27
Klorvak	Drussa	None	2.75
Zecharias Landry	Union Of Terran Republics	None	12.50
Olimpia	Nippon	Weebunism	664.94
I Marcel	Brussia	None	50.50
McGreal	Canning	Teutonic Order	1,045.75
Ertugrul	Kayi	None	144.00
Ben bunny	Republica de Valencia	None	50.50
Sirus	Sirus America	None	5.50
Daniel Lee Shari	Bonnhill	None	50.50
Krrish	West bengal	Arrgh	1,692.40
Kenneth	Ommerike	None	55.50
Janez Zirovski	Republic of Ziri	None	50.50
Ashkh	Tzadik Union	None	147.63
Noob Master 69	Katyusha	League of Assassins	912.00
Alfred Fredrick	Kleindeutschland	None	90.05
Hugo Olsson	Vespenjah	None	131.51
Stewart	Hellheim	None	131.31
Fotra Montashad	Adate	None	5.50
Arturo Cabrera	Papalonia	None	5.50
Barones	Baron Republic	None	8.25
Gabriel Tarrow	Nambia	None	224.54
Oscar Allen	Osland	None	2.73
H Doan	Xelayah	None	7.12
Villium	Wohltir	None	117.50
Alauddin Ahmed Khan	Gandhar	The Immortals	371.35
Shiba Tatsuya	Nazarik Federation	None	50.50
Alfredovich Silva	Republica Warao	League of Democratic Nations	254.34
Dad	Northern Denmark Rep	None	10.24
James Kolak	Groton Free State	None	138.44
Vytor Fonte	Yovalyskaya Oblast	None	5.25
von Degurechaff	The Empire	None	171.10
Kirbs	Kirbuckia	None	13.68
Inven	Inven Republic	The Commonwealth	373.47
Ahmad	Ardu al-Islam	None	67.68
Freddy Kay	FKland	United Purple Nations	435.66
Putra Nusantara	Indonesia Unitary State	None	22.65
Helakke agalla	Naanu	None	92.36
Morrish	Republic of Celebes	IronVault	402.29
ssssdwehdejfk	lllllloooofffuj	None	2.75
Gadhapadman	Gyan gunj	None	19.25
Gene	Champnation	None	2.75
Phan Thads-Rang	Kongfuzia	None	12.75
Daniel James Giese	Kingdom of Giese Genovia	None	50.50
Andrew94	Drewslandia	None	100.87
kemper dutton	communist republic of kemper	Solo players	190.89
Niels	Republic of Schriesheim	None	133.07
Stiltskin	Crumpitsausage	None	232.23
Salome	Calista	None	20.14
Dragon	Scamperland	None	17.75
Karma Karmic	Karminia	None	130.55
Steven Dye	Ereena	None	12.69
Bjorn Fredrik	Norwigan republic	The North Atlantic Empire	520.31
Aksel Eidesgaard	Fareyjar	None	18.75
levimona	Arun	None	16.97
Mzoell	Imperia Altair	None	154.77
Thatrainbowguy	Frankish empire	Spartan Brotherhood	906.00
Eclipsters	YTEC	None	50.75
Tomos puw	Cymru mawr	None	12.75
Old ghost	Persian-Empire	Arrgh	1,292.15
Carolus Semprus	Welvania	None	66.72
Grevious	Somatrea	None	5.25
Deus Miles	Union of Socialist Steak Rep	None	70.75
Milop	Gamer Nation	None	373.25
Empirical Dragon	Democratic States of Japan	The Enlightenment	562.87
Pertinax	Sardinia Piemont	None	158.09
Julius	Farov	None	50.50
Offshoreeee	eeeeeee	None	1.25
Nigon	Avarantia	None	216.81
Leonardo Rinehart	Jabiapal	None	50.50
Isaac Culbertson	Vloneia	None	79.19
Dante Perez	Gran Argreriana	The United Armies	248.60
Solano Lopes	Prussian Empire	None	106.87
Marley	Hippie Land	None	68.50
Achilian	Acheronia	The United Armies	1,098.25
Luisan	Troima	None	2.75
Feelz	Desmond	Weebunism	496.88
Orbity	Bysu	None	57.50
ACHMIALAS	ACHMILIA	None	2.75
Paxon57	Technocracy of Pax	None	10.75
Saddam - Al Abdul	Mahtaq	None	56.15
Tabib Hasan	Avastona	None	5.75
Salman the great	the arabian sultanate	None	16.91
Play	Esparanada	The Covenant	439.22
Gustavus	UNITED DISTRICTS	None	25.50
Capito	Endrum	None	80.00
Merkel	Grandamazingrepublic	None	2.75
Bobb	Zawawamba	None	79.00
Jack Boyd	United States Of Freeburg	The Enlightenment	716.51
Kjell	Skandinavia United	None	50.50
Oswald the Tenth	Oswelle	None	8.33
Giovanni XV	Sacro Impero Romano	None	50.43
Elly	Nealeor	None	5.50
Grug	Grug Empire	None	50.50
Zachron	United Asgard	None	14.61
Zielyr	Xoflae	None	73.81
King James	World Domination	None	2.75
Zasha	Zasha	None	52.92
Maroni	Butte America	None	11.51
Clemons III	The Vatican 2	Ragnarok	451.86
Nathan Boothroyd	Librania	United Alliance for Freedom	70.50
Sinowa	Sinowa	None	207.21
Buenaventura Durutti	Stetti	None	50.50
kmnhs	Area 11	None	9.27
Erhard Pike	Vulksus	None	79.58
Christian Freiheit	Greater Philadelphia	None	65.75
Conor Alavardo	Arthen	None	29.00
Matt Blue	Autoya	None	6.75
Jamal	Juvan	None	13.88
Longevity	Longevity	None	55.75
Derai	Byzantion	None	79.19
Surya	Ganjaland	None	50.50
Johaan	Estria	None	2.75
Quark88	Quarkist Antarctica Province	None	56.50
Aaron Schnip	Oderland	None	50.75
Kuntas	Kuntas	None	157.86
Ponset	Ponset	None	85.55
sir ibrahim ismail	Johor darul tazim	None	856.34
Aislinn	Stardia	None	50.50
Ioan Viteazu	Daciun	None	16.25
Nicc Ryan	United States of Centuria	AVENGERS	182.27
Christopher Howell	Liberate World Order	None	2.75
Flavious Langdon	Langdo	None	50.50
Rockfrost	Argentralis	Federation of Commerce States	316.15
Vincent Sokolov	Liberlaska	None	5.50
Mouradi	Frocco	None	50.50
GMB	GMB Power	None	275.95
oguzturkdevleti	Germiyan	None	50.50
Lollllllll	Europeaaa	None	298.67
Laskeo	Detroit Peoples Republic	None	60.00
Big Guns Jim	Libertopia	None	151.30
Morningstar	Great Eldia	None	154.01
Kareem	Kareem Union	None	10.75
Chris Brown	epsteindidntkillhimself	The Immortals	1,072.33
Booster	Unova2	The Republican Of India	430.91
Michael II	Strathkelvin	None	5.25
Mylo	Republic of England	None	5.50
Ioannis Metaxas	Megara Empire	None	84.76
Jefff	Jeffville	None	5.75
squirrell	The squirrell Empire	None	141.26
Karl Pohlmann	Waalbelek	None	177.92
Alexander II	Serbian Uskoks	None	2.75
DarkAssassins44	Puff	None	52.76
Arthuro	United Kindom Of Finland	None	3.13
Machine	Penuis	None	8.00
Tim Klesov	Surgut communistic republic	None	76.52
Tcyplayzz	Solternia	None	63.25
Red	Panaama	Pantheon	638.26
Baushtellani	Baushtella	Pantheon	678.61
Shahin I	ShahinStan	The Fighting Pacifists	1,145.63
Hanz von Karn	United Nations of the Earth	None	10.75
Konjakis the Great	The Empire of The Dry Muffin	Elysium	1,344.50
Shaun	Prigert	None	96.90
Ninja Mike	Side Door	None	146.25
Sakr I	Nordic Egypt	None	147.10
Epstein	Pedotopia	None	5.50
bobber	stuffbob	None	135.18
Krasnoar Elamie	Onfande	None	53.00
Da King	SmellyWorld	None	2.75
Jackson Chen	Vietnam Isles	None	20.25
Crunch	New republic of Cherokee	The Imperium	1,228.84
Luciferis	The Republic of the Scythe	None	84.62
Mateo	Belvan	None	11.57
Idarion	Altaria	None	5.00
Caitlyn	Caorainda	None	2.75
Ralof	Riverwood	None	157.88
Mike Winter	Hiroshima	None	6.50
Rin Dvactere	Palembang	None	102.87
Thor Rufenweifer	Republic of the Alleghenys	Teutonic Order	1,522.87
Hans Erbprinz	Kaukasus	None	0.25
Mister Obama	Pedeland	None	5.75
Kapten	ESTONIAN LIFE	None	52.24
Markitsiah	DiMaNi	None	50.50
Squishii	Clorox Chemical Co	Chromosome Crusade	454.48
Charles IX	Holy Latin Empire	None	9.66
Logan	Veilius	None	60.97
Lottie	golden shelter	None	16.75
MordiKyle	Land of the great MordiKyle	None	34.23
Wilhem	Uprus	Federation of Commerce States	148.26
SWA	Liberia	None	532.86
Rowan	Hemlock	None	97.13
Jaberu Hodou	Jaberu Teikoku	None	52.32
Arkus Shirubason	Arkiabia	None	50.50
Ariana Grande	Sweeter Land	None	50.50
Adrian	Kyzeria	None	2.75
Reaper 552	New Dawn	None	12.75
Edward Clegg	Kingdom of Britains	None	65.50
Flavio	Ravingo	None	5.50
Slaizen	Szebiere	None	132.39
MilkyTiger	New Transylvania	League of Democratic Nations	379.03
Marlo	Blah	None	311.21
Vasy	VasyRO	None	2.75
Jacob Hanover	Communist Republic of Norway	CLOVER KINGDOM	302.91
Mansamusa	Gambia	Pantheon	690.62
cheeselord	cheeselandia	None	24.00
BRgamers22	New Cartago	None	19.25
Aesis	Englaruth	The Federation	412.00
Qawerion	Mangnmangn	Typhon	730.00
M Nguyen	Tacoma Island	None	309.59
Donald J Trump II	Greater United States	None	5.75
Krain Vagues	Torrisdane	None	78.18
mohmmed bin Murad	Ottoman X	None	352.02
Virkuz	Arizona	None	488.00
Beast13	Beast13	Horsemen	1,473.40
Gumno	Jimlo	None	176.21
Mad Dog	Struga	None	2.75
Aeori Lockwood	Fortrina	The Immortals	775.00
Kyel	Messian	None	2.75
Bruuuuh	Bruh land	None	15.79
Cindeir	Avolyn	None	19.25
Danny Hazard	Hazard	None	5.50
alexander the II	Epror	None	18.00
Pius X	Holy Bamberg Empire	None	5.50
Warner	Irish_Empire	None	8.23
Keef	Bigmanland	None	70.48
Alex Mamczur	Waltzland	None	17.25
Jasjki Cruz	Selovinina	None	75.60
Neteros	Silverus	None	5.50
William Foster	Soviet America	The Red Banner	8.00
Hernia v	Emperor	None	2.75
Kyl	Land	None	16.89
Mitch	Mitchell	None	66.58
Cletus McConnabathy	Cletustopia	None	131.48
Altitude	colgastan	None	61.75
Jonas	The Islamic Republic of Meca	None	57.19
Diatorus	Coznomo	None	361.19
Def	Executor	None	20.19
George Orwell	The DPR of Animal Farm	None	579.32
Joseph Starlin	SU Soviet Union	None	55.50
Kai	Mah chu	None	5.50
Mayank Satyarthi	Essenx	None	73.00
Chonky	Chonk	The Immortals	901.50
Jurespius Zelvarier	Quebec Republic	Aurora	1,897.50
Jetson The Tank I	Tankjet	None	167.57
Seto Yashira	Exodia	None	125.00
Zerald	Doomland	None	55.75
Zombie	the Zombie empire	None	249.49
Dan Skargness	Kingdom of Berlend	None	50.50
Alyssa 12	Country Land	None	57.25
charles v britanica	britaniaa	None	14.56
Futlon	Parabia	None	2.75
Mr Bjorn Fredrik	New Rhodisa	None	12.75
Chalres V Britannia	britanica	None	12.75
James Hoyt Jr	Sparta81	None	5.50
Frederick IV	Kaiserreich	None	0.05
Helmut Kohl	German Federal Republic	None	50.50
Uncle Tables	Unclotobia	None	9.37
Leopold	Trollington	None	5.25
Kink	Kinkunnen	Arrgh	995.23
Tamrn	Tamrnia	None	50.50
A Day	Republic of Maine	None	71.90
youngaldo	Youngaldia	None	20.50
Dylan Smurf	SCCP	None	50.41
Peter Clarke	Deltil	None	5.50
Goli	Sand turkeys	None	50.50
The Red Prophet	United Satanic America	None	50.50
Grievous Jr	waifu	None	50.50
SushiMan9001	Emperical Japan	Grey Enterprises	280.53
Kidito	Kiditopia	Home	544.10
Camilo	Avalonia	None	5.50
King Con	Kingdom Con	None	112.41
Hochstetler	Remnant Republic	None	766.38
Whoru	Unionscape	Teutonic Order	644.82
Aurek	The imperium of remea	None	2.75
Beanlord	Beanland	The Immortals	757.00
Haakon the Handsome	New Alta	None	2.75
Ellison Pendel	Antenion	None	58.50
Kindred	The Rodstvennyy	None	50.50
Ivanov	Core Dynamics	None	12.67
Aryaman	Aryamano	None	18.00
Oss	I-land	None	120.96
Frogge	Federal Republic of Belgica	None	86.49
KUCHI	NEW CHICAGO	NCH01	2,029.82
Aiden Hancock	Hampshire	None	203.61
None	Hong Kong Protests	None	100.75
Harib Allsack	Gavusia	None	249.45
Katia Tart	Kattropica	None	85.36
Thane	PeachGang	None	248.79
Leroy Knox	Kaskuace	None	50.50
Dubh-gall	Dubh Caledonia	None	70.75
Marcus Gryphas	Augus	The Imperium	1,244.75
Christian lad	Peoples republic of the east	None	2.75
Chimeng Xiong	Sen Kong	None	2.75
Darwin Chan	East Pearl	None	5.50
Damon	New Hastings	Ragnarok	938.31
Pakali Nur	Amutikali	None	17.75
Tanner Robison	The United Front	None	9.72
Articale Rup	The Artistcileon	None	18.00
Gabriel Lins	Atlas Island	North Point	492.62
Oscar Espinosa	San Deseo	None	50.50
Joe guy	Joe land of epic	None	212.15
Katherine Graves	Second Texas republic	None	5.50
King Donald	United Colony	None	2.75
Horci	Siska	None	14.57
DanMan	Hoth	None	50.50
Maha shiva kumar	tamil hindu India	The Immortals	178.11
Backer	Weihnachtsbackerei	None	2.75
Tiny	River	The Fighting Pacifists	220.48
GarfieldTH	Republic of Sabahamberlin	None	81.60
Artem	Russian Freedom Federation	None	2.75
Frederik III	Wainia	None	8.00
Benbam44	New Pennsylvania	None	62.00
Gligor Stankovic	United Serbian Tribes	None	61.00
Daniel Shepherd	Goliath Republic	None	60.50
KOLENT	Morocco	None	7.75
Tony Givioni	Suibne	None	57.18
Peter Romanov	Konungariket Sverige	Nordic Council	944.07
Raul Macho	Tierra_del_fuego	None	2.50
Oliver	Railand	Knights Templar	309.80
Borgia Jones	Ecclesia	None	95.03
hensleychild01	the bobs	None	46.75
Pesho	Toscano	The United Armies	720.59
Vadim	Russian	None	75.25
General Graziani	Italian Union	None	63.93
R0MANS	Romans	None	68.25
RTE	Recep	None	58.75
Kopsi	Koranolanian	None	18.00
Bassal meror	Aversdallion	None	55.55
James Helius Xarca	The Barkian Empire	None	5.50
Penultimo	Tropica	None	438.84
Appreax	Central	None	331.37
Wilhelm XX	Deutschland	None	74.25
Benjamin III	Svaika	None	5.50
Lelouch-vi-Britannia	The-Holy-Britannian-Empire	None	340.38
Stalenin	Grarie	None	107.05
Romar	Miami	None	60.49
Tobi	Ranation	None	100.02
Zencion	Monoz	None	60.49
Adk	Nemilia	None	30.18
Aditya	Keralam	None	5.25
Irvin Hughes	Tiblic Republic	None	446.90
Soumajit Sen	Indian Genius	Home	700.00
Tsing Tsing	Kennith	None	61.25
Patricius	Rexland	None	20.23
Stan Denis	Republica Socialista Romania	The United States of America	184.43
Marcus the first	Aurelian	None	14.62
Laszlo Pesti	Somogyorszag	None	80.97
Castro	The Castro Empire	None	5.50
Vangard	Genoan Empire	None	135.73
Tywald	Isambard	Pantheon	1,749.82
Mark Zuckerberg	Facebookian Empire	None	5.50
Edi Dr	Aftermath	None	50.50
Artemis I	Godtres	None	5.50
Matteo Denaro	Great Mafia State	None	50.50
Simeon Nikolovic	Anti-Shen	None	50.50
Sickel	Scklandia	None	9.82
Giacomo Morini	Bologna	None	0.00
Re Amedeo VI	Regno Unito italico	None	74.28
Artem Kohut	Ukrainians	None	50.53
Verno	Confederation of Islands	None	25.75
Kire	Janus	None	2.75
Zakkart	Eclipse kingdom	None	79.69
Alienor II	Grond Grischun	None	55.50
Scipio Aferanus	Imperum Romanum	None	50.50
peace	kiniki	None	126.25
Lalu	Malappuram	None	13.87
Absolute lad	Fredrickstan	None	35.70
Insecticide	Unification	IronVault	146.40
Flidturr Jackwin I	Gerunthit	None	2.75
Woody	Empire Of Rhode Island	None	5.50
Theodocius	Antrimnia	None	12.37
Mehnai	FreedomCorpse	None	50.50
LIBERDOMINUS	ARTOSKY	The United Armies	473.55
Mooklal	New Yeetz	None	12.75
Joe Brian	The Nation	None	241.50
Luna-Lopez	Lunar	None	2.75
Jamal Husa	Mosenia	None	5.50
Kirito	Anime Republic	None	11.51
Vikramadity	Indica	None	88.66
Bryan	Zaragonar	None	50.50
jimi	jimi maa	None	0.50
Mats Rune	Matsrunistan	Umbrella Corporation	1,024.50
Unkar Plutt	Jakku	None	320.38
Theodoric	Neadia	Ecotopian Co-operative Alliance	147.02
Ahmet Muhtar Zagolli	Kingdom of Albania	None	69.39
Oliva Gross	Orkam	None	282.65
Bowlyson	Bowlyson Republic	The Fighting Pacifists	613.25
Glacier	Snowfell	None	28.78
Tomas I	Kingdom of Ranelagh	None	158.81
Kimball	National California Republic	None	5.75
Geoinni	United Stated of DMI	None	69.25
Flippy nips	Corerica	None	156.09
Octavia Skai	Esperanza	None	2.75
ArtfulOne	Techtopia	Arrgh	1,173.25
Xavier Von Klizten	Zalavk	None	69.88
Nonait Qin	Romait	The Immortals	447.95
Vesuvier	Vesuvius Empire	None	51.75
Jalen Freeman	Vryheid	None	75.00
Tavon Wright	Tavon	None	154.84
WEEEEEEEEEEEEEEEEEE	Ahadkle	None	71.00
Orange Mungos	Astea	None	2.75
Sect Qin	Missima	None	225.00
Lars Gustavsson	Wake Island	Chromosome Crusade	854.18
Walker05	Warrior	None	66.28
Jeevu	Indiana ma	None	2.75
Jonathan Vandrare	Adriatic Republic	None	14.97
Krugerius	Holy Wojkowice Empire	None	153.75
NEP	Artotzska	United Socialist Nations	332.29
Phant0m	Phantom States	IronVault	526.02
Iurii	IuriiLand	None	50.50
Kobe Bryant	Kobeland	None	72.25
Frederick Augustus I	Saxony	None	134.56
Mr Spoon	Button Moon	The Fighting Pacifists	441.59
Vulcan	Weemgonistan	Ragnarok	1,558.50
Maz	BotMazia	None	30.25
Boogaloosicus III	Bostonus	None	91.22
Qarni	Republic of Qarni	None	79.19
Jax Archanic	Hellslayer	None	94.14
Charles Bailey	Bartles	The Commonwealth	278.78
Lucius Orricus	Arrisania	The United Armies	312.74
YASSIN	YASSIN EMPIRE	None	7.75
Monarch	Romi	None	145.62
Minda	Ipara	None	2.75
luke anderson	weddington	None	105.68
Spare Coochie	MachineryCo	The Imperium	267.90
Soroush	Great Iran	None	3.00
Nicol Smith	THE UNITED KINGDOM	None	50.50
Jamsua	Emporium Valen	None	25.75
Katz	Ultima Speranza	None	10.75
GloriousDraco	Greater Welsh Isles	None	98.21
Nova K	KaneKovan	None	5.50
Maximilian Furrybush	Libero	None	5.50
Malthusian	Gil Lodihr	None	61.50
Lord Groovius	Discotown	The Immortals	933.00
Draco Dragmire	Dragmire Empire	None	63.50
Ashmiron	The Final Republic	World Task Force	179.37
Steven Armstrong	State of Nanomachines	None	265.83
Cfafa	New Goteborg	Camelot	734.13
James Marcos	La Filipinas	SHIELD	26.70
De Smeth	Castellum	None	8.25
Pep Julian	Bokoya	None	390.73
Berry Mcokinher	jayboly	Knights of the Everlasting Night	81.50
Vader	Scarif	None	362.81
bobwell the cool	the maxist society	None	238.05
Mayor Fritz	russia 2	None	137.38
Bann	Zuccini	None	212.45
King Finn	Moso United	None	377.06
Male Radec	New Helghan	None	2.75
Theodore Allen IV	New Quonland	None	6.50
Cristobal	Great Barony of Lorenzo	The North Atlantic Empire	81.12
Hux II	Austrian Kingdom	None	50.50
Alexander Smith	Democratic Republic of Smith	The Imperium	274.18
Mustafa145	Dragonic	None	55.50
Tarent	Edelia	None	134.56
Amenamen Rhygan	Bombia of Carbombya	The Persian Empire	321.46
Icepaw	Icepaw	The Immortals	492.23
JamieH	Revolutionary United	None	166.76
Sari	Palicitiz	United Socialist Nations	1,440.00
Hello	Bathmat	The Workers Republic	1,109.31
Jacob Smith2	United States Of Jacob	None	2.75
DustinB	Redneck Nation	Wizards Citadel	972.02
Mr Martin	Enixion	None	5.50
Rikki chadwick	Royal Qatar Nation	UNITED NATIONS	205.02
Ernesto Serna	Republic of Narange	United Alliance for Freedom	84.39
MasterHunerEN	DarkNation	TheNorthWesternSouthRegionofthefarEast	641.37
Ivandyn	Duchy of Ufa	Camelot	225.57
Tyler Heath	Arulaen Fief	None	65.75
Lord	Peacek	None	8.25
Dill	Polarity	Teutonic Order	1,070.00
mustapha	the death star	None	78.25
Uzumaki Naruto	shinobi world	None	213.96
Courtnell	Great Abrines	None	8.75
Tark	Mazorj	None	5.50
Dav Zhuk	Republic of Shebka	None	5.50
Ottar Vjanholst	Valkalan	The Fighting Pacifists	1,577.00
Bistaru2018	Bistaru Land	None	187.26
Enei	SkyPiea	None	50.50
Keneth	Oclaiburg	The Knights Radiant	738.00
Zeek Ellis	Weeb Nation	None	5.75
Jaden Reluga	Skau	None	196.41
Breadboi	DerpLand	None	100.04
Justin Letts	Chesapeake	None	90.17
Kamarat	Medara	None	67.76
MAX JETS	marxan	None	7.75
Messiah Latavius Pri	Wakanda Noir	None	12.75
Chib	Mingland	None	50.50
Okramus	Okramija	None	50.50
SuurmajorHelinski	GrandScandinava	None	50.50
loghan	rep of loghan	None	73.50
Collins II	Aurora Highlands	None	100.75
Akira Shaa	Mankai Order	None	123.81
Mouldy	Mould Land	Separatists	741.00
Sanoon	The Church	Separatists	453.09
Chris Davis	Cascadian States	Ecotopian Co-operative Alliance	377.58
Ali Aguilera	Artany	None	66.98
Tiberius Invictus	Tricell Inc	Atlas Technologies	1,447.50
Joris	Joristan	The Fighting Pacifists	1,404.88
Lyle	Grekaleo	None	189.50
Naahzi	Sialkot	None	11.26
King Daniel III	United Province	None	65.99
CholanK	CholanK	The Commonwealth	1,165.40
Alannov	Baruda	None	5.25
Alissa	Alisinia	None	100.85
Shehzad	Kingdom of Albion	None	5.50
Cole Mudcock	Saxet	None	33.93
Sophie	Oshana	None	11.66
Hunters	Missouri	None	50.50
Hibernis Regm	Deus Regem	None	5.50
Alexander den Norske	Fra Nordmennene	None	2.83
Bruhhg	Bruh nation	None	13.72
Ethan Horatio Buk	Stellaland	None	182.68
Lee Luda	Daeyang Archipelago	United Alliance for Freedom	619.75
ZelenskyiDen	Ukraine	None	14.61
Phantom077	PhantomLand	None	5.50
Samo Of Hessen	Kingdom Of Sweden-Finland	None	50.50
Ceasar	Ermor	The Blitzers	890.46
Cyrus Ioannes Joseph	Neolthemen	None	281.57
Asari	Skarland	The Blitzers	261.95
Hadrian Aquillus	Princeps Imperium	None	5.50
Tyler Balliol	Assyrian Kingdom	None	5.75
GAD CO gri	Espezel	None	100.58
DioPlayingUno	The United States of Nuclear	None	264.57
Carlistoh	Qatarstan	None	50.50
Thottimus Prime	Thottville	Umbrella Corporation	1,522.00
Mr Haadi OOf	Pakistani Empire	None	84.25
King van buren jones	Republic of Dontrizzl	None	100.75
Benjamin Stalker	United Cyber Nation	None	7.75
George W Bush	Americae Roma	The Immortals	774.50
Zak	Tikistan	The Immortals	1,208.60
Chimra	Global Empire	United Socialist Nations	337.41
Osprey	Osprey	None	6.75
King Louis	Louisiana	None	252.79
Midelem	Terran Draconia	North Point	766.70
Ammad	Paktan	None	100.75
Arseny Turgenev	Slavic Union of Steel	None	190.32
Sir John Monash	United Kingdom of Australia	The Persian Empire	218.21
